Order_ID,Date,Region,Product,Revenue,Cost,Profit
1001,2024-01-05,Asia,Laptop,120000,90000,30000
1002,2024-01-06,Europe,Mobile,80000,60000,20000
1003,2024-01-07,Asia,Tablet,,30000,
1004,2024-01-08,America,LaOptop,150000,110000,40000
1005,2024-01-09,Europe,Mobile,70000,55000,15000
1006,2024-01-10,Asia,Laptop,120000,90000,30000
1006,2024-01-10,Asia,Laptop,120000,90000,30000
1007,2024-01-11,America,Tablet,50000,35000,15000
1008,2024-01-12,Europe,Laptop,130000,100000,30000
1009,2024-01-13,Asia,Mobile,90000,,20000
1010,2024-01-14,America,Mobile,60000,45000,15000
